image_a_is_original,entropy,method
-1,0.09484233957114574,NONE
0,0.259538483909576,BIM_ENTROPY
1,0.2981510273934296,BIM_ENTROPY
1,0.184337982796613,BIM
1,0.2510933882171341,BIM
0,0.3838100244963703,BIM
1,0.3139897764007114,BIM_ENTROPY
0,0.9154707441751212,BIM_ENTROPY
-1,0.3139897764007114,NONE
-1,0.1170009284012483,NONE
1,0.6578673616626213,BIM
1,0.5350723146273532,BIM_ENTROPY
-1,0.09051352893144372,NONE
1,0.13092694712587108,BIM
1,0.16092661155915486,BIM
1,0.3756893099629758,BIM
0,0.19735797138734465,BIM
0,0.692889341282536,BIM_ENTROPY
-1,0.374201630854241,NONE
1,0.2009597208084921,BIM
1,0.5733269202805338,BIM_ENTROPY
-1,0.15494233845259,NONE
1,0.13977472287782014,BIM
-1,0.23736870952226485,NONE
-1,0.3661704007785148,NONE
-1,0.5350723146273532,NONE
1,0.12330958266686055,BIM_ENTROPY
1,0.2981510273934296,BIM
0,0.3831612621782754,BIM
-1,0.6578673616626213,NONE
-1,0.211127392311048,NONE
1,0.15494233845259,BIM
-1,0.35734499614098275,NONE
-1,0.5307323184304427,NONE
-1,0.7761770002572678,NONE
0,0.6980794398272951,BIM_ENTROPY
-1,0.09841053232066756,NONE
-1,0.07150926723414727,NONE
-1,0.3962371785550497,NONE
1,0.110837686379347,BIM_ENTROPY
0,0.3235534278140065,BIM
0,0.1803894811020011,BIM_ENTROPY
-1,0.08667688280891712,NONE
0,0.3189114215724657,BIM_ENTROPY
1,0.32777038288162325,BIM
1,0.6578673616626213,BIM_ENTROPY
-1,0.9154707441751212,NONE
-1,0.4900280757485934,NONE
0,0.7624523215623986,BIM_ENTROPY
-1,0.17553494927349805,NONE
1,0.3756893099629758,BIM_ENTROPY
0,0.3235534278140065,BIM_ENTROPY
0,0.3661704007785148,BIM
0,0.3661704007785148,BIM_ENTROPY
-1,0.3189114215724657,NONE
1,0.4189438596883704,BIM
1,0.15080368228543306,BIM_ENTROPY
-1,0.12825359895303184,NONE
1,0.720416997572734,BIM_ENTROPY
-1,0.3831612621782754,NONE
0,0.5307323184304427,BIM
0,0.14213487544882047,BIM
1,0.483316741423474,BIM_ENTROPY
0,0.530340823928144,BIM_ENTROPY
1,0.3294929586917372,BIM
0,0.09841053232066756,BIM_ENTROPY
-1,0.32777038288162325,NONE
-1,0.5341550989362535,NONE
1,0.7624523215623986,BIM
1,0.1803894811020011,BIM
-1,0.110837686379347,NONE
1,0.35734499614098275,BIM
0,0.5341550989362535,BIM
0,0.6980794398272951,BIM
0,0.5350723146273532,BIM
-1,0.5931141709824275,NONE
0,0.26251384212704554,BIM
0,0.3139897764007114,BIM
0,0.3838100244963703,BIM_ENTROPY
