entropy,id,method,t,truth,user_id,y
0.2450755584389437,78,NONE,6081,0,9,1
0.617476314582611,79,NONE,6216,0,9,0
0.5173320208946208,80,NONE,5916,0,9,0
0.19960626838625967,81,NONE,6092,0,9,0
0.5307323184304427,82,BIM_ENTROPY,5108,1,9,0
0.19960626838625967,83,BIM_ENTROPY,4708,1,9,1
0.09484233957114574,84,NONE,5958,0,9,1
0.259538483909576,85,BIM_ENTROPY,2980,1,9,1
0.2981510273934296,86,BIM_ENTROPY,3378,1,9,1
0.184337982796613,87,BIM,5768,1,9,1
0.2510933882171341,88,BIM,2034,1,9,1
0.3838100244963703,89,BIM,4742,1,9,1
0.3139897764007114,90,BIM_ENTROPY,2978,1,9,1
0.9154707441751212,91,BIM_ENTROPY,6456,1,9,0
0.3139897764007114,92,NONE,6054,0,9,0
0.1170009284012483,93,NONE,5904,0,9,0
0.6578673616626213,94,BIM,6106,1,9,0
0.5350723146273532,95,BIM_ENTROPY,5118,1,9,1
0.09051352893144372,96,NONE,5878,0,9,0
0.13092694712587108,97,BIM,1667,1,9,1
0.16092661155915486,98,BIM,3545,1,9,1
0.3756893099629758,99,BIM,4482,1,9,1
0.19735797138734465,100,BIM,5795,1,9,1
0.692889341282536,101,BIM_ENTROPY,6240,1,9,0
0.374201630854241,102,NONE,6034,0,9,0
0.2009597208084921,103,BIM,1974,1,9,1
0.5733269202805338,104,BIM_ENTROPY,6038,1,9,0
0.15494233845259,105,NONE,6125,0,9,0
0.13977472287782014,106,BIM,2613,1,9,1
0.23736870952226485,107,NONE,6287,0,9,1
0.3661704007785148,108,NONE,7141,0,9,0
0.5350723146273532,109,NONE,6304,0,9,0
0.12330958266686055,110,BIM_ENTROPY,6794,1,9,0
0.2981510273934296,111,BIM,2004,1,9,1
0.3831612621782754,112,BIM,1722,1,9,1
0.6578673616626213,113,NONE,6249,0,9,0
0.211127392311048,114,NONE,5727,0,9,1
0.15494233845259,115,BIM,2277,1,9,1
0.35734499614098275,116,NONE,6023,0,9,0
0.5307323184304427,117,NONE,5331,0,9,0
